precinct,qualified_voters,count_voted,reported,no,yes,parish
01/01,1322,137,1,51,61,Acadia
01/02,1133,97,1,37,30,Acadia
01/03,1146,153,1,66,38,Acadia
01/04,1472,161,1,52,48,Acadia
01/05,513,36,1,18,8,Acadia
01/06,1061,77,1,56,3,Acadia
01/07,823,105,1,21,50,Acadia
01/08,1084,101,1,36,38,Acadia
02/01,1380,144,1,52,56,Acadia
02/02,1018,164,1,53,78,Acadia
02/03,1001,126,1,50,54,Acadia
02/04,189,19,1,10,8,Acadia
02/05,716,122,1,42,55,Acadia
03/01,506,71,1,33,28,Acadia
03/02,887,122,1,38,70,Acadia
03/03,1525,138,1,54,52,Acadia
03/04,982,161,1,100,32,Acadia
03/05,828,92,1,36,36,Acadia
03/07,986,102,1,36,45,Acadia
04/01,727,97,1,22,56,Acadia
04/02,828,109,1,32,56,Acadia
04/03,100,5,1,2,1,Acadia
04/04,1458,201,1,65,97,Acadia
04/05,890,128,1,43,61,Acadia
04/06,840,104,1,21,63,Acadia
05/01,359,49,1,30,18,Acadia
05/02,421,61,1,25,30,Acadia
05/03,828,89,1,19,44,Acadia
05/04,457,49,1,18,18,Acadia
05/05,252,45,1,20,19,Acadia
06/01,1011,101,1,62,5,Acadia
06/02,368,65,1,17,22,Acadia
06/03,723,124,1,55,16,Acadia
06/04,1090,142,1,54,37,Acadia
06/05,578,102,1,38,23,Acadia
06/06,798,146,1,98,8,Acadia
06/07,1090,142,1,51,43,Acadia
06/08,898,85,1,38,26,Acadia
06/10,366,77,1,12,45,Acadia
06/12,1040,150,1,47,47,Acadia
06/13,372,70,1,21,26,Acadia
06/14,861,102,1,44,36,Acadia
06/15,268,38,1,8,18,Acadia
06/16,434,72,1,28,20,Acadia
07/02,677,78,1,35,38,Acadia
07/03,1229,185,1,52,109,Acadia
07/04,968,145,1,33,78,Acadia
Early Voting,NA,NA,1,434,731,Acadia
01/01,855,154,1,71,29,Allen
01/02,207,46,1,21,14,Allen
01/03,301,52,1,28,7,Allen
01/06,533,81,1,26,6,Allen
02/01,390,49,1,31,11,Allen
02/02,937,155,1,84,28,Allen
02/03,455,87,1,41,33,Allen
02/05,1463,232,1,155,45,Allen
02/06,409,62,1,34,13,Allen
03/01,410,84,1,45,32,Allen
03/02,906,147,1,82,50,Allen
04/02,464,89,1,54,24,Allen
04/03,492,93,1,58,22,Allen
05/02,694,127,1,62,48,Allen
05/03,1386,172,1,85,51,Allen
05/04,974,146,1,64,50,Allen
05/05,328,51,1,28,13,Allen
05/07,1160,205,1,147,9,Allen
Early Voting,NA,NA,1,197,211,Allen
00/01 A,1069,180,1,76,39,Ascension
00/01 B,1007,162,1,51,53,Ascension
00/02,1585,199,1,71,46,Ascension
00/03,1768,284,1,110,73,Ascension
00/04,1636,289,1,137,78,Ascension
00/05,1805,289,1,121,84,Ascension
00/06,1951,299,1,124,79,Ascension
00/07,1701,325,1,149,59,Ascension
00/08 A,1121,189,1,48,32,Ascension
00/08 B,1167,199,1,77,42,Ascension
00/09,1302,232,1,106,38,Ascension
00/10,1041,198,1,71,47,Ascension
00/11 A,1484,278,1,153,42,Ascension
00/11 B,1361,206,1,104,43,Ascension
00/12,1959,262,1,87,83,Ascension
00/13,2042,278,1,126,86,Ascension
00/14,1092,158,1,58,58,Ascension
00/15,1413,195,1,73,64,Ascension
00/16,1710,353,1,143,71,Ascension
00/17,2118,345,1,207,36,Ascension
00/18,1740,255,1,101,81,Ascension
00/19,1208,246,1,143,23,Ascension
00/20,1211,227,1,112,59,Ascension
00/21,644,79,1,42,16,Ascension
00/22,773,126,1,41,50,Ascension
00/23,750,119,1,67,26,Ascension
00/24,481,68,1,28,17,Ascension
00/25,1273,155,1,68,37,Ascension
00/26 A,1028,179,1,67,72,Ascension
00/26 B,1034,142,1,41,75,Ascension
00/27,660,104,1,48,48,Ascension
00/28,846,179,1,128,22,Ascension
00/30,815,185,1,116,19,Ascension
00/31,1130,270,1,137,45,Ascension
00/32,1312,350,1,189,47,Ascension
00/33,1644,234,1,88,74,Ascension
00/34,1019,260,1,122,96,Ascension
00/35,1341,134,1,46,64,Ascension
00/36,1657,317,1,196,39,Ascension
00/37,2217,561,1,349,35,Ascension
00/38,927,230,1,140,16,Ascension
00/39,308,75,1,52,13,Ascension
00/40,1871,418,1,237,94,Ascension
00/41,974,121,1,36,52,Ascension
00/42,566,88,1,51,13,Ascension
00/43,1134,131,1,37,56,Ascension
00/44,995,258,1,181,19,Ascension
00/45,219,64,1,54,2,Ascension
00/47,1170,288,1,202,10,Ascension
00/48,455,117,1,46,29,Ascension
00/50,499,119,1,69,17,Ascension
00/51,875,187,1,116,8,Ascension
00/52,428,85,1,38,12,Ascension
00/53,588,111,1,61,26,Ascension
00/54,920,252,1,133,22,Ascension
00/55,610,188,1,122,4,Ascension
00/57,390,112,1,75,2,Ascension
00/58,1302,193,1,101,35,Ascension
00/61,1440,197,1,70,47,Ascension
00/62,806,148,1,56,40,Ascension
00/63,1460,259,1,137,62,Ascension
00/64,1193,210,1,81,42,Ascension
00/65,1070,225,1,105,45,Ascension
00/66,1684,402,1,150,111,Ascension
00/68,1111,203,1,101,54,Ascension
00/69,858,95,1,31,45,Ascension
00/71,2265,420,1,229,80,Ascension
00/72,1058,175,1,105,40,Ascension
00/73,415,67,1,23,22,Ascension
00/76,1991,299,1,129,81,Ascension
00/77,1463,265,1,126,42,Ascension
