district,n_yes,n_no,n_sum,pct_yes,pct_no
1,1728,2180,3908,44.22,55.78
2,460,2479,2939,15.65,84.35
3,483,3155,3638,13.28,86.72
4,605,3389,3994,15.15,84.85
5,2165,1934,4099,52.82,47.18
6,2287,2442,4729,48.36,51.64
7,2347,2244,4591,51.12,48.88
8,1523,1549,3072,49.58,50.42
9,1139,1385,2524,45.13,54.87
10,1427,1797,3224,44.26,55.74
11,628,2115,2743,22.89,77.11
12,1798,2090,3888,46.24,53.76
13,1608,2926,4534,35.47,64.53
14,1658,1832,3490,47.51,52.49
15,1323,1150,2473,53.5,46.5
16,542,2432,2974,18.22,81.78
17,333,2052,2385,13.96,86.04
18,1462,3483,4945,29.57,70.43
19,1286,1722,3008,42.75,57.25
20,1556,1745,3301,47.14,52.86
21,790,2438,3228,24.47,75.53
22,1539,1645,3184,48.34,51.66
23,405,6114,6519,6.21,93.79
24,1922,1565,3487,55.12,44.88
25,2515,2609,5124,49.08,50.92
26,690,2599,3289,20.98,79.02
27,2081,1458,3539,58.8,41.2
28,1260,1888,3148,40.03,59.97
29,633,5042,5675,11.15,88.85
30,1278,1176,2454,52.08,47.92
31,1554,1821,3375,46.04,53.96
32,1114,1746,2860,38.95,61.05
33,1243,1358,2601,47.79,52.21
34,840,4398,5238,16.04,83.96
35,1288,1877,3165,40.7,59.3
36,2313,2558,4871,47.49,52.51
37,1360,1601,2961,45.93,54.07
38,1622,2204,3826,42.39,57.61
39,857,2020,2877,29.79,70.21
40,963,2945,3908,24.64,75.36
41,1439,1385,2824,50.96,49.04
42,1311,1399,2710,48.38,51.62
43,1249,1552,2801,44.59,55.41
44,402,2853,3255,12.35,87.65
45,1320,2582,3902,33.83,66.17
46,1731,1693,3424,50.55,49.45
47,1743,1572,3315,52.58,47.42
48,2142,2039,4181,51.23,48.77
49,1998,1453,3451,57.9,42.1
50,1437,3377,4814,29.85,70.15
51,1187,2215,3402,34.89,65.11
52,1478,1694,3172,46.6,53.4
53,1091,1536,2627,41.53,58.47
54,1604,1412,3016,53.18,46.82
55,1947,2877,4824,40.36,59.64
56,1708,3192,4900,34.86,65.14
57,494,4356,4850,10.19,89.81
58,926,5123,6049,15.31,84.69
59,1061,2463,3524,30.11,69.89
60,1101,4319,5420,20.31,79.69
61,309,4420,4729,6.53,93.47
62,789,4026,4815,16.39,83.61
63,552,4698,5250,10.51,89.49
64,1860,1706,3566,52.16,47.84
65,1369,2715,4084,33.52,66.48
66,3226,3633,6859,47.03,52.97
67,338,2889,3227,10.47,89.53
68,1894,3496,5390,35.14,64.86
69,2215,3675,5890,37.61,62.39
70,1834,3373,5207,35.22,64.78
71,1295,1564,2859,45.3,54.7
72,1197,3636,4833,24.77,75.23
73,2550,2337,4887,52.18,47.82
74,2841,2232,5073,56,44
75,1428,2350,3778,37.8,62.2
76,1744,2930,4674,37.31,62.69
77,2310,1882,4192,55.1,44.9
78,2029,2446,4475,45.34,54.66
79,1499,2153,3652,41.05,58.95
80,1408,2289,3697,38.08,61.92
81,2033,2300,4333,46.92,53.08
82,1873,3395,5268,35.55,64.45
83,877,4150,5027,17.45,82.55
84,2337,3296,5633,41.49,58.51
85,1760,3127,4887,36.01,63.99
86,1667,2010,3677,45.34,54.66
87,531,3825,4356,12.19,87.81
88,1206,1878,3084,39.11,60.89
89,3025,2112,5137,58.89,41.11
90,1654,2394,4048,40.86,59.14
91,562,7062,7624,7.37,92.63
92,783,2724,3507,22.33,77.67
93,404,6320,6724,6.01,93.99
94,1792,3748,5540,32.35,67.65
95,1473,1600,3073,47.93,52.07
96,984,2704,3688,26.68,73.32
97,346,7642,7988,4.33,95.67
98,1049,7012,8061,13.01,86.99
99,260,6395,6655,3.91,96.09
100,249,5285,5534,4.5,95.5
101,565,4599,5164,10.94,89.06
102,531,5880,6411,8.28,91.72
103,939,2649,3588,26.17,73.83
104,2106,2413,4519,46.6,53.4
105,1222,3420,4642,26.32,73.68
