district,n_yes,n_no,n_sum,pct_yes,pct_no,n_na,pct_not_na
1,4678,7112,11790,39.68,60.32,0,100
2,2142,12633,14775,14.5,85.5,2,98.25
3,1259,15786,17045,7.39,92.61,1,99.02
4,1662,15379,17041,9.75,90.25,1,98.99
5,1334,18828,20162,6.62,93.38,0,100
6,4970,9226,14196,35.01,64.99,0,100
7,1952,12766,14718,13.26,86.74,0,100
8,5478,8642,14120,38.8,61.2,0,100
9,4067,9006,13073,31.11,68.89,0,100
10,4035,6787,10822,37.29,62.71,1,98.7
11,6411,5474,11885,53.94,46.06,0,100
12,4900,6449,11349,43.18,56.82,0,100
13,3681,4368,8049,45.73,54.27,0,100
14,1795,9618,11413,15.73,84.27,0,100
15,1260,12528,13788,9.14,90.86,0,100
16,5359,9809,15168,35.33,64.67,0,100
17,4187,8041,12228,34.24,65.76,2,98.5
18,3756,5973,9729,38.61,61.39,0,100
19,3734,8710,12444,30.01,69.99,1,98.97
20,3815,4409,8224,46.39,53.61,1,98.75
21,3778,7207,10985,34.39,65.61,1,99
22,4706,5018,9724,48.4,51.6,0,100
23,4197,5690,9887,42.45,57.55,0,100
24,2163,7397,9560,22.63,77.37,0,100
25,4316,5944,10260,42.07,57.93,0,100
26,4254,3970,8224,51.73,48.27,0,100
27,2855,6654,9509,30.02,69.98,0,100
28,4036,5250,9286,43.46,56.54,0,100
29,2183,6852,9035,24.16,75.84,0,100
30,3966,4006,7972,49.75,50.25,0,100
31,5819,6193,12012,48.44,51.56,0,100
32,4088,4770,8858,46.15,53.85,0,100
33,3825,4692,8517,44.91,55.09,0,100
34,1735,6436,8171,21.23,78.77,0,100
35,4245,4143,8388,50.61,49.39,0,100
36,3906,4064,7970,49.01,50.99,0,100
37,4426,5976,10402,42.55,57.45,0,100
38,5751,6730,12481,46.08,53.92,0,100
39,2391,7485,9876,24.21,75.79,0,100
