district,n_yes,n_no,n_sum,pct_yes,pct_no,n_na,pct_not_na
1,4521,7229,11750,38.48,61.52,0,100
2,1976,12775,14751,13.4,86.6,2,98.25
3,1310,15751,17061,7.68,92.32,1,99.02
4,1594,15430,17024,9.36,90.64,1,98.99
5,1252,18882,20134,6.22,93.78,0,100
6,5166,9019,14185,36.42,63.58,0,100
7,1832,12862,14694,12.47,87.53,0,100
8,5532,8537,14069,39.32,60.68,0,100
9,4049,8996,13045,31.04,68.96,0,100
10,4113,6679,10792,38.11,61.89,1,98.7
11,5982,5874,11856,50.46,49.54,0,100
12,5003,6351,11354,44.06,55.94,0,100
13,3774,4258,8032,46.99,53.01,0,100
14,1512,9874,11386,13.28,86.72,0,100
15,1025,12746,13771,7.44,92.56,0,100
16,5173,9952,15125,34.2,65.8,0,100
17,3959,8213,12172,32.53,67.47,2,98.5
18,3535,6155,9690,36.48,63.52,0,100
19,3714,8708,12422,29.9,70.1,1,98.97
20,3871,4338,8209,47.16,52.84,1,98.75
21,3776,7194,10970,34.42,65.58,1,99
22,4363,5310,9673,45.1,54.9,0,100
23,3708,6122,9830,37.72,62.28,0,100
24,1822,7702,9524,19.13,80.87,0,100
25,4121,6104,10225,40.3,59.7,0,100
26,4138,4060,8198,50.48,49.52,0,100
27,2701,6790,9491,28.46,71.54,0,100
28,3912,5333,9245,42.31,57.69,0,100
29,2043,7001,9044,22.59,77.41,0,100
30,3848,4091,7939,48.47,51.53,0,100
31,5426,6568,11994,45.24,54.76,0,100
32,4086,4760,8846,46.19,53.81,0,100
33,3685,4827,8512,43.29,56.71,0,100
34,1527,6648,8175,18.68,81.32,0,100
35,4101,4277,8378,48.95,51.05,0,100
36,3513,4467,7980,44.02,55.98,0,100
37,4533,5883,10416,43.52,56.48,0,100
38,5082,7349,12431,40.88,59.12,0,100
39,1911,7919,9830,19.44,80.56,0,100
