district,n_yes,n_no,n_sum,pct_yes,pct_no
1,1782,2150,3932,45.32,54.68
2,480,2492,2972,16.15,83.85
3,507,3147,3654,13.88,86.12
4,600,3406,4006,14.98,85.02
5,2135,1990,4125,51.76,48.24
6,2212,2547,4759,46.48,53.52
7,2447,2171,4618,52.99,47.01
8,1544,1549,3093,49.92,50.08
9,1153,1387,2540,45.39,54.61
10,1461,1804,3265,44.75,55.25
11,636,2136,2772,22.94,77.06
12,1831,2079,3910,46.83,53.17
13,1677,2887,4564,36.74,63.26
14,1642,1872,3514,46.73,53.27
15,1367,1126,2493,54.83,45.17
16,590,2401,2991,19.73,80.27
17,340,2083,2423,14.03,85.97
18,1432,3505,4937,29.01,70.99
19,1307,1729,3036,43.05,56.95
20,1581,1730,3311,47.75,52.25
21,785,2451,3236,24.26,75.74
22,1564,1619,3183,49.14,50.86
23,329,6206,6535,5.03,94.97
24,1947,1546,3493,55.74,44.26
25,2543,2625,5168,49.21,50.79
26,720,2585,3305,21.79,78.21
27,2115,1465,3580,59.08,40.92
28,1330,1866,3196,41.61,58.39
29,619,5057,5676,10.91,89.09
30,1287,1183,2470,52.11,47.89
31,1520,1857,3377,45.01,54.99
32,1104,1765,2869,38.48,61.52
33,1249,1364,2613,47.8,52.2
34,896,4366,5262,17.03,82.97
35,1285,1887,3172,40.51,59.49
36,2304,2601,4905,46.97,53.03
37,1333,1643,2976,44.79,55.21
38,1667,2208,3875,43.02,56.98
39,854,2030,2884,29.61,70.39
40,940,2989,3929,23.92,76.08
41,1462,1360,2822,51.81,48.19
42,1306,1406,2712,48.16,51.84
43,1189,1622,2811,42.3,57.7
44,400,2863,3263,12.26,87.74
45,1171,2746,3917,29.9,70.1
46,1714,1717,3431,49.96,50.04
47,1786,1555,3341,53.46,46.54
48,2179,2015,4194,51.96,48.04
49,2023,1454,3477,58.18,41.82
50,1488,3353,4841,30.74,69.26
51,1177,2224,3401,34.61,65.39
52,1474,1703,3177,46.4,53.6
53,1097,1538,2635,41.63,58.37
54,1566,1454,3020,51.85,48.15
55,1876,2960,4836,38.79,61.21
56,1634,3288,4922,33.2,66.8
57,490,4362,4852,10.1,89.9
58,921,5161,6082,15.14,84.86
59,1012,2516,3528,28.68,71.32
60,1065,4361,5426,19.63,80.37
61,284,4454,4738,5.99,94.01
62,765,4057,4822,15.86,84.14
63,503,4753,5256,9.57,90.43
64,1853,1731,3584,51.7,48.3
65,1306,2788,4094,31.9,68.1
66,2953,3949,6902,42.78,57.22
67,287,2946,3233,8.88,91.12
68,1608,3794,5402,29.77,70.23
69,1935,3971,5906,32.76,67.24
70,1549,3680,5229,29.62,70.38
71,1309,1580,2889,45.31,54.69
72,1297,3651,4948,26.21,73.79
73,2633,2310,4943,53.27,46.73
74,2832,2285,5117,55.34,44.66
75,1461,2332,3793,38.52,61.48
76,1719,2995,4714,36.47,63.53
77,2234,1979,4213,53.03,46.97
78,1888,2597,4485,42.1,57.9
79,1376,2282,3658,37.62,62.38
80,1289,2408,3697,34.87,65.13
81,2018,2347,4365,46.23,53.77
82,1721,3550,5271,32.65,67.35
83,901,4167,5068,17.78,82.22
84,2428,3254,5682,42.73,57.27
85,1781,3162,4943,36.03,63.97
86,1704,2043,3747,45.48,54.52
87,559,3800,4359,12.82,87.18
88,1187,1904,3091,38.4,61.6
89,2809,2347,5156,54.48,45.52
90,1656,2422,4078,40.61,59.39
91,430,7199,7629,5.64,94.36
92,773,2731,3504,22.06,77.94
93,346,6399,6745,5.13,94.87
94,1554,4013,5567,27.91,72.09
95,1453,1649,3102,46.84,53.16
96,999,2706,3705,26.96,73.04
97,333,7654,7987,4.17,95.83
98,779,7296,8075,9.65,90.35
99,242,6431,6673,3.63,96.37
100,252,5286,5538,4.55,95.45
101,516,4652,5168,9.98,90.02
102,492,5941,6433,7.65,92.35
103,924,2672,3596,25.7,74.3
104,2066,2481,4547,45.44,54.56
105,1244,3409,4653,26.74,73.26
