district,n_yes,n_no,n_sum,pct_yes,pct_no
1,1863,2081,3944,47.24,52.76
2,537,2442,2979,18.03,81.97
3,609,3053,3662,16.63,83.37
4,741,3287,4028,18.4,81.6
5,2189,1939,4128,53.03,46.97
6,2412,2380,4792,50.33,49.67
7,2600,2040,4640,56.03,43.97
8,1659,1427,3086,53.76,46.24
9,1203,1337,2540,47.36,52.64
10,1484,1762,3246,45.72,54.28
11,662,2107,2769,23.91,76.09
12,1842,2054,3896,47.28,52.72
13,1598,2948,4546,35.15,64.85
14,1616,1908,3524,45.86,54.14
15,1248,1249,2497,49.98,50.02
16,580,2408,2988,19.41,80.59
17,362,2053,2415,14.99,85.01
18,1559,3408,4967,31.39,68.61
19,1291,1736,3027,42.65,57.35
20,1447,1873,3320,43.58,56.42
21,818,2420,3238,25.26,74.74
22,1577,1620,3197,49.33,50.67
23,341,6205,6546,5.21,94.79
24,2036,1460,3496,58.24,41.76
25,2572,2607,5179,49.66,50.34
26,751,2555,3306,22.72,77.28
27,2093,1492,3585,58.38,41.62
28,1324,1874,3198,41.4,58.6
29,812,4871,5683,14.29,85.71
30,1243,1224,2467,50.39,49.61
31,1593,1811,3404,46.8,53.2
32,959,1914,2873,33.38,66.62
33,1151,1464,2615,44.02,55.98
34,861,4379,5240,16.43,83.57
35,1218,1956,3174,38.37,61.63
36,2199,2720,4919,44.7,55.3
37,1340,1643,2983,44.92,55.08
38,1659,2219,3878,42.78,57.22
39,958,1937,2895,33.09,66.91
40,1105,2839,3944,28.02,71.98
41,1484,1356,2840,52.25,47.75
42,1265,1453,2718,46.54,53.46
43,1309,1513,2822,46.39,53.61
44,447,2825,3272,13.66,86.34
45,1365,2570,3935,34.69,65.31
46,1785,1670,3455,51.66,48.34
47,1755,1590,3345,52.47,47.53
48,2302,1923,4225,54.49,45.51
49,2070,1410,3480,59.48,40.52
50,1464,3391,4855,30.15,69.85
51,1187,2223,3410,34.81,65.19
52,1401,1779,3180,44.06,55.94
53,1038,1601,2639,39.33,60.67
54,1692,1342,3034,55.77,44.23
55,1989,2852,4841,41.09,58.91
56,1686,3244,4930,34.2,65.8
57,498,4358,4856,10.26,89.74
58,957,5115,6072,15.76,84.24
59,1076,2469,3545,30.35,69.65
60,1152,4283,5435,21.2,78.8
61,395,4351,4746,8.32,91.68
62,845,3995,4840,17.46,82.54
63,597,4663,5260,11.35,88.65
64,1700,1893,3593,47.31,52.69
65,1214,2881,4095,29.65,70.35
66,2935,3978,6913,42.46,57.54
67,408,2827,3235,12.61,87.39
68,1821,3601,5422,33.59,66.41
69,1976,3950,5926,33.34,66.66
70,1717,3517,5234,32.8,67.2
71,1182,1710,2892,40.87,59.13
72,1272,3640,4912,25.9,74.1
73,2412,2518,4930,48.92,51.08
74,2819,2304,5123,55.03,44.97
75,1405,2377,3782,37.15,62.85
76,1770,2956,4726,37.45,62.55
77,2330,1904,4234,55.03,44.97
78,1863,2639,4502,41.38,58.62
79,1442,2228,3670,39.29,60.71
80,1329,2386,3715,35.77,64.23
81,2069,2303,4372,47.32,52.68
82,1714,3572,5286,32.43,67.57
83,888,4181,5069,17.52,82.48
84,2452,3243,5695,43.06,56.94
85,1771,3168,4939,35.86,64.14
86,1507,2228,3735,40.35,59.65
87,552,3815,4367,12.64,87.36
88,1243,1858,3101,40.08,59.92
89,2954,2226,5180,57.03,42.97
90,1714,2372,4086,41.95,58.05
91,514,7123,7637,6.73,93.27
92,817,2708,3525,23.18,76.82
93,379,6353,6732,5.63,94.37
94,1711,3859,5570,30.72,69.28
95,1397,1704,3101,45.05,54.95
96,1023,2689,3712,27.56,72.44
97,372,7613,7985,4.66,95.34
98,919,7157,8076,11.38,88.62
99,292,6383,6675,4.37,95.63
100,290,5250,5540,5.23,94.77
101,608,4562,5170,11.76,88.24
102,553,5877,6430,8.6,91.4
103,883,2719,3602,24.51,75.49
104,2066,2481,4547,45.44,54.56
105,1279,3377,4656,27.47,72.53
