district,n_yes,n_no,n_sum,pct_yes,pct_no,n_na,pct_not_na
1,4613,7072,11685,39.48,60.52,0,100
2,2019,12699,14718,13.72,86.28,2,98.25
3,1279,15741,17020,7.51,92.49,1,99.02
4,1707,15277,16984,10.05,89.95,1,98.99
5,1421,18700,20121,7.06,92.94,0,100
6,5350,8769,14119,37.89,62.11,0,100
7,1900,12773,14673,12.95,87.05,0,100
8,5280,8687,13967,37.8,62.2,0,100
9,4413,8615,13028,33.87,66.13,0,100
10,4287,6476,10763,39.83,60.17,1,98.7
11,6435,5340,11775,54.65,45.35,0,100
12,5039,6206,11245,44.81,55.19,0,100
13,3956,4027,7983,49.56,50.44,0,100
14,1636,9735,11371,14.39,85.61,0,100
15,1025,12735,13760,7.45,92.55,0,100
16,5817,9252,15069,38.6,61.4,0,100
17,3945,8212,12157,32.45,67.55,2,98.5
18,3692,5966,9658,38.23,61.77,0,100
19,3675,8730,12405,29.63,70.37,1,98.97
20,3877,4316,8193,47.32,52.68,1,98.75
21,3761,7165,10926,34.42,65.58,1,99
22,4490,5146,9636,46.6,53.4,0,100
23,3995,5805,9800,40.77,59.23,0,100
24,1917,7577,9494,20.19,79.81,0,100
25,4447,5746,10193,43.63,56.37,0,100
26,4264,3908,8172,52.18,47.82,0,100
27,2986,6497,9483,31.49,68.51,0,100
28,3986,5215,9201,43.32,56.68,0,100
29,2114,6878,8992,23.51,76.49,0,100
30,4065,3845,7910,51.39,48.61,0,100
31,5558,6377,11935,46.57,53.43,0,100
32,4202,4579,8781,47.85,52.15,0,100
33,3801,4658,8459,44.93,55.07,0,100
34,1657,6479,8136,20.37,79.63,0,100
35,4242,4072,8314,51.02,48.98,0,100
36,3678,4234,7912,46.49,53.51,0,100
37,4698,5585,10283,45.69,54.31,0,100
38,5306,7030,12336,43.01,56.99,0,100
39,2085,7709,9794,21.29,78.71,0,100
