precinct,district,parish
00/54,19,Morehouse
*ALL/*ALL,19,Richland
*ALL/*ALL,19,West Carroll
*ALL/*ALL,20,Caldwell
01/2,20,Catahoula
01/3,20,Catahoula
01/4,20,Catahoula
02/2,20,Catahoula
03/1,20,Catahoula
03/2,20,Catahoula
04/1,20,Catahoula
04/2,20,Catahoula
05/1,20,Catahoula
06/1,20,Catahoula
06/2,20,Catahoula
06/3,20,Catahoula
06/3A,20,Catahoula
09/1,20,Catahoula
09/2,20,Catahoula
09/3,20,Catahoula
09/4,20,Catahoula
00/01,20,Franklin
00/02,20,Franklin
00/03,20,Franklin
00/04,20,Franklin
00/04A,20,Franklin
00/04B,20,Franklin
00/06,20,Franklin
00/12,20,Franklin
00/13,20,Franklin
00/13A,20,Franklin
00/14,20,Franklin
00/21,20,Franklin
00/22,20,Franklin
00/26,20,Franklin
00/27,20,Franklin
00/27A,20,Franklin
00/30,20,Franklin
00/31,20,Franklin
00/32,20,Franklin
00/33,20,Franklin
01/01,20,Lasalle
01/02,20,Lasalle
01/03,20,Lasalle
04/02,20,Lasalle
05/01,20,Lasalle
06/02,20,Lasalle
07/01,20,Lasalle
09/01,20,Lasalle
09/02,20,Lasalle
09/03,20,Lasalle
10/01,20,Lasalle
00/25,20,Ouachita
00/26,20,Ouachita
00/58,20,Ouachita
01/1,21,Catahoula
01/1A,21,Catahoula
02/1,21,Catahoula
02/1A,21,Catahoula
06/5,21,Catahoula
06/5A,21,Catahoula
07/1,21,Catahoula
07/1A,21,Catahoula
07/3,21,Catahoula
07/5,21,Catahoula
08/1,21,Catahoula
*ALL/*ALL,21,Concordia
00/01,21,East Carroll
00/03,21,East Carroll
00/05,21,East Carroll
00/05A,21,East Carroll
00/05B,21,East Carroll
00/06,21,East Carroll
00/07,21,East Carroll
00/09,21,East Carroll
00/10,21,East Carroll
00/13,21,East Carroll
00/14,21,East Carroll
00/16,21,East Carroll
00/19,21,East Carroll
00/16,21,Franklin
00/18,21,Franklin
00/19,21,Franklin
00/20,21,Franklin
00/24,21,Franklin
00/11,21,Madison
00/12,21,Madison
00/13,21,Madison
00/15,21,Madison
00/17,21,Madison
00/17A,21,Madison
00/18,21,Madison
00/19,21,Madison
00/20,21,Madison
00/21,21,Madison
00/22,21,Madison
00/23,21,Madison
00/24,21,Madison
00/25,21,Madison
00/26,21,Madison
*ALL/*ALL,21,Tensas
*ALL/*ALL,22,Grant
02/01,22,Lasalle
03/01,22,Lasalle
03/02,22,Lasalle
04/03,22,Lasalle
07/02,22,Lasalle
08/02,22,Lasalle
08/03,22,Lasalle
08/05,22,Lasalle
08/07,22,Lasalle
09/05,22,Lasalle
01/03,22,Natchitoches
01/03A,22,Natchitoches
01/04,22,Natchitoches
01/04A,22,Natchitoches
01/06,22,Natchitoches
01/07,22,Natchitoches
01/11,22,Natchitoches
01/12,22,Natchitoches
01/13,22,Natchitoches
04/09,22,Natchitoches
02/07,23,Orleans
03/08,23,Orleans
03/09,23,Orleans
03/12,23,Orleans
03/14,23,Orleans
03/15,23,Orleans
03/18,23,Orleans
03/19,23,Orleans
03/20,23,Orleans
04/03,23,Orleans
04/06,23,Orleans
04/07,23,Orleans
04/08,23,Orleans
05/08,23,Orleans
05/09,23,Orleans
05/10,23,Orleans
05/11,23,Orleans
05/12,23,Orleans
05/13,23,Orleans
05/15,23,Orleans
06/07,23,Orleans
06/08,23,Orleans
06/09,23,Orleans
07/12,23,Orleans
07/15,23,Orleans
07/16,23,Orleans
07/21,23,Orleans
07/27B,23,Orleans
16/08,23,Orleans
16/09,23,Orleans
17/08,23,Orleans
17/09,23,Orleans
17/10,23,Orleans
17/11,23,Orleans
17/12,23,Orleans
17/13,23,Orleans
17/13A,23,Orleans
17/14,23,Orleans
17/15,23,Orleans
17/16,23,Orleans
00/01,24,Beauregard
00/01A,24,Beauregard
00/02,24,Beauregard
00/03,24,Beauregard
00/04,24,Beauregard
00/05,24,Beauregard
00/06,24,Beauregard
00/17A,24,Beauregard
00/19,24,Beauregard
00/20,24,Beauregard
00/21,24,Beauregard
00/1-1,24,Sabine
00/1-2,24,Sabine
00/1-3,24,Sabine
00/1-4,24,Sabine
00/1-5,24,Sabine
00/2-1,24,Sabine
00/2-2,24,Sabine
00/2-6,24,Sabine
00/3-2,24,Sabine
00/3-6,24,Sabine
00/4-1,24,Sabine
00/5-1,24,Sabine
00/5-2,24,Sabine
00/5-3,24,Sabine
00/5-4,24,Sabine
00/5-8,24,Sabine
01/07,24,Vernon
01/09,24,Vernon
02/01,24,Vernon
02/01A,24,Vernon
02/02,24,Vernon
02/02A,24,Vernon
02/03,24,Vernon
02/04,24,Vernon
03/01,24,Vernon
03/02,24,Vernon
03/03,24,Vernon
03/04,24,Vernon
03/05,24,Vernon
04/03,24,Vernon
04/03B,24,Vernon
04/03L,24,Vernon
04/03N,24,Vernon
05/01,24,Vernon
05/02,24,Vernon
05/02A,24,Vernon
06/01,24,Vernon
06/02,24,Vernon
06/03,24,Vernon
06/04,24,Vernon
07/03,24,Vernon
07/04A,24,Vernon
08/01,24,Vernon
08/02,24,Vernon
08/03,24,Vernon
01/01,25,Natchitoches
01/01A,25,Natchitoches
01/05,25,Natchitoches
01/05A,25,Natchitoches
01/08,25,Natchitoches
01/09,25,Natchitoches
01/09A,25,Natchitoches
01/10,25,Natchitoches
01/10A,25,Natchitoches
01/10B,25,Natchitoches
01/14,25,Natchitoches
03/01,25,Natchitoches
03/02,25,Natchitoches
03/03,25,Natchitoches
03/04,25,Natchitoches
03/05,25,Natchitoches
03/06,25,Natchitoches
03/07,25,Natchitoches
03/08,25,Natchitoches
03/09,25,Natchitoches
03/10,25,Natchitoches
04/01,25,Natchitoches
04/02,25,Natchitoches
04/03,25,Natchitoches
04/04,25,Natchitoches
04/05,25,Natchitoches
04/06,25,Natchitoches
04/07,25,Natchitoches
04/08,25,Natchitoches
00/C22,25,Rapides
00/C23,25,Rapides
00/C30,25,Rapides
00/C31,25,Rapides
00/C33,25,Rapides
00/C34,25,Rapides
00/C35,25,Rapides
00/C36 AK,25,Rapides
00/C36 LZ,25,Rapides
00/C37A,25,Rapides
00/C37B,25,Rapides
00/C41,25,Rapides
00/C42,25,Rapides
00/S01,25,Rapides
00/S02,25,Rapides
00/S04,25,Rapides
00/S05,25,Rapides
00/S06A,25,Rapides
00/S06B,25,Rapides
00/S08,25,Rapides
00/S09,25,Rapides
00/S11,25,Rapides
00/S13,25,Rapides
00/S14,25,Rapides
00/S15,25,Rapides
00/C01,26,Rapides
00/C02,26,Rapides
00/C03,26,Rapides
00/C04 AK,26,Rapides
00/C04 LZ,26,Rapides
00/C05,26,Rapides
00/C06,26,Rapides
00/C07,26,Rapides
00/C08,26,Rapides
00/C09,26,Rapides
00/C10,26,Rapides
00/C11A,26,Rapides
00/C11B,26,Rapides
00/C13 AK,26,Rapides
00/C13 LZ,26,Rapides
00/C14,26,Rapides
00/C15,26,Rapides
00/C17,26,Rapides
00/C18,26,Rapides
00/C19,26,Rapides
00/C20,26,Rapides
00/C21 AK,26,Rapides
00/C21 LZ,26,Rapides
00/C24,26,Rapides
00/C25,26,Rapides
00/C26,26,Rapides
00/C27,26,Rapides
00/C28,26,Rapides
00/C32,26,Rapides
00/C38A,26,Rapides
00/C38B,26,Rapides
00/C39,26,Rapides
00/C40,26,Rapides
00/N01,26,Rapides
00/N02,26,Rapides
00/N03,26,Rapides
00/N04,26,Rapides
00/N05,26,Rapides
00/N06,27,Rapides
00/N07,27,Rapides
00/N08 AK,27,Rapides
00/N08 LZ,27,Rapides
00/N09,27,Rapides
00/N10 AK,27,Rapides
00/N10 LZ,27,Rapides
00/N11,27,Rapides
00/N12,27,Rapides
00/N13A,27,Rapides
00/N13B,27,Rapides
00/N14A,27,Rapides
00/N14B,27,Rapides
00/N15,27,Rapides
00/N16,27,Rapides
00/N17,27,Rapides
00/N18A,27,Rapides
00/N18B,27,Rapides
00/N19 AK,27,Rapides
00/N19 LZ,27,Rapides
00/N20 AK,27,Rapides
00/N20 LZ,27,Rapides
00/N21,27,Rapides
00/N22,27,Rapides
00/N23,27,Rapides
00/N24 AK,27,Rapides
00/N24 LZ,27,Rapides
00/N25,27,Rapides
00/N26 AK,27,Rapides
00/N26 LZ,27,Rapides
00/N27,27,Rapides
00/N28,27,Rapides
00/N29,27,Rapides
00/S16,27,Rapides
*ALL/*ALL,28,Avoyelles
00/01,28,St. Landry
00/01A,28,St. Landry
00/01B,28,St. Landry
00/01C,28,St. Landry
00/01D,28,St. Landry
00/04,28,St. Landry
00/04A,28,St. Landry
00/04B,28,St. Landry
01/017,29,East Baton Rouge
01/018,29,East Baton Rouge
01/019,29,East Baton Rouge
01/021,29,East Baton Rouge
01/022,29,East Baton Rouge
01/023,29,East Baton Rouge
01/024,29,East Baton Rouge
01/025,29,East Baton Rouge
01/026,29,East Baton Rouge
01/058 A,29,East Baton Rouge
01/058 B,29,East Baton Rouge
01/077 A,29,East Baton Rouge
01/077 B,29,East Baton Rouge
01/085 A,29,East Baton Rouge
01/085 B,29,East Baton Rouge
02/016 A,29,East Baton Rouge
02/016 B,29,East Baton Rouge
02/023 A,29,East Baton Rouge
02/023 B,29,East Baton Rouge
02/027 A,29,East Baton Rouge
02/027 B,29,East Baton Rouge
02/030 A,29,East Baton Rouge
02/030 B,29,East Baton Rouge
00/01B,29,West Baton Rouge
00/01C,29,West Baton Rouge
00/01D,29,West Baton Rouge
00/01E,29,West Baton Rouge
00/02A,29,West Baton Rouge
00/02B,29,West Baton Rouge
00/03,29,West Baton Rouge
00/04B,29,West Baton Rouge
00/05,29,West Baton Rouge
00/06,29,West Baton Rouge
00/07A,29,West Baton Rouge
00/07B,29,West Baton Rouge
00/08,29,West Baton Rouge
00/09,29,West Baton Rouge
00/10,29,West Baton Rouge
00/11,29,West Baton Rouge
00/13A,29,West Baton Rouge
00/13B,29,West Baton Rouge
00/14A,29,West Baton Rouge
00/14B,29,West Baton Rouge
00/15,29,West Baton Rouge
00/16,29,West Baton Rouge
00/17,29,West Baton Rouge
00/07,30,Beauregard
00/15,30,Beauregard
00/16,30,Beauregard
00/16A,30,Beauregard
00/17,30,Beauregard
00/18,30,Beauregard
00/18A,30,Beauregard
00/25,30,Beauregard
00/25B,30,Beauregard
00/26,30,Beauregard
00/27,30,Beauregard
00/27A,30,Beauregard
00/27B,30,Beauregard
00/28,30,Beauregard
00/28A,30,Beauregard
00/30,30,Beauregard
01/01,30,Vernon
01/01A,30,Vernon
01/01B,30,Vernon
01/02,30,Vernon
01/03,30,Vernon
01/03C,30,Vernon
01/04,30,Vernon
01/04B,30,Vernon
01/04C,30,Vernon
01/05,30,Vernon
01/05A,30,Vernon
01/06,30,Vernon
01/06A,30,Vernon
01/06B,30,Vernon
01/07B,30,Vernon
01/08,30,Vernon
01/08A,30,Vernon
04/01,30,Vernon
04/02,30,Vernon
04/03A,30,Vernon
04/03C,30,Vernon
04/03G,30,Vernon
04/03K,30,Vernon
07/01,30,Vernon
07/02,30,Vernon
07/02A,30,Vernon
07/02B,30,Vernon
07/04,30,Vernon
07/05,30,Vernon
07/05A,30,Vernon
07/05D,30,Vernon
00/034,31,Lafayette
00/035,31,Lafayette
00/036,31,Lafayette
00/067,31,Lafayette
00/085,31,Lafayette
00/086,31,Lafayette
00/105,31,Lafayette
00/106,31,Lafayette
00/109,31,Lafayette
00/117,31,Lafayette
00/125,31,Lafayette
00/133,31,Lafayette
00/22,31,Vermilion
00/24,31,Vermilion
00/25,31,Vermilion
00/26,31,Vermilion
00/26A,31,Vermilion
00/26B,31,Vermilion
00/32,31,Vermilion
00/34,31,Vermilion
00/34A,31,Vermilion
00/35,31,Vermilion
00/36A,31,Vermilion
00/37,31,Vermilion
00/39,31,Vermilion
00/46,31,Vermilion
00/46C,31,Vermilion
00/46D,31,Vermilion
00/46E,31,Vermilion
*ALL/*ALL,32,Allen
00/09,32,Beauregard
00/10,32,Beauregard
00/11,32,Beauregard
00/11B,32,Beauregard
00/14,32,Beauregard
00/14A,32,Beauregard
00/22,32,Beauregard
00/560,32,Calcasieu
00/561,32,Calcasieu
00/562,32,Calcasieu
00/600,32,Calcasieu
00/601,32,Calcasieu
00/602,32,Calcasieu
00/603,32,Calcasieu
00/660,32,Calcasieu
00/661,32,Calcasieu
00/662,32,Calcasieu
00/663,32,Calcasieu
00/664,32,Calcasieu
00/760,32,Calcasieu
00/17,32,Jefferson Davis
00/400,33,Calcasieu
00/401,33,Calcasieu
00/402,33,Calcasieu
00/403,33,Calcasieu
00/404,33,Calcasieu
00/405,33,Calcasieu
00/406,33,Calcasieu
00/407,33,Calcasieu
00/408,33,Calcasieu
00/460E,33,Calcasieu
00/460W,33,Calcasieu
00/461,33,Calcasieu
00/465,33,Calcasieu
00/466E,33,Calcasieu
00/466W,33,Calcasieu
00/467,33,Calcasieu
00/468,33,Calcasieu
00/469,33,Calcasieu
00/700,33,Calcasieu
00/701,33,Calcasieu
00/702,33,Calcasieu
00/703,33,Calcasieu
00/761,33,Calcasieu
00/762,33,Calcasieu
00/300,34,Calcasieu
00/301,34,Calcasieu
00/303,34,Calcasieu
00/304,34,Calcasieu
00/305,34,Calcasieu
00/307,34,Calcasieu
00/308,34,Calcasieu
00/309E,34,Calcasieu
00/309W,34,Calcasieu
00/310,34,Calcasieu
00/311,34,Calcasieu
00/312,34,Calcasieu
00/313E,34,Calcasieu
00/313W,34,Calcasieu
00/315E,34,Calcasieu
00/315W,34,Calcasieu
00/318,34,Calcasieu
00/319N,34,Calcasieu
00/319S,34,Calcasieu
00/320E,34,Calcasieu
00/320W,34,Calcasieu
00/321,34,Calcasieu
00/322,34,Calcasieu
00/323,34,Calcasieu
00/324,34,Calcasieu
00/328,34,Calcasieu
00/329,34,Calcasieu
00/330,34,Calcasieu
00/361,34,Calcasieu
00/364,34,Calcasieu
00/12,35,Beauregard
00/12A,35,Beauregard
00/13,35,Beauregard
00/160E,35,Calcasieu
00/160W,35,Calcasieu
00/161,35,Calcasieu
00/162E,35,Calcasieu
00/162W,35,Calcasieu
00/163,35,Calcasieu
00/164,35,Calcasieu
00/165,35,Calcasieu
00/166E,35,Calcasieu
00/166W,35,Calcasieu
00/167,35,Calcasieu
00/302,35,Calcasieu
00/306,35,Calcasieu
00/314,35,Calcasieu
00/316E,35,Calcasieu
00/317,35,Calcasieu
00/440,35,Calcasieu
00/441,35,Calcasieu
00/463,35,Calcasieu
00/464,35,Calcasieu
00/316W,36,Calcasieu
00/325,36,Calcasieu
00/326,36,Calcasieu
00/327,36,Calcasieu
00/331,36,Calcasieu
00/332N,36,Calcasieu
00/332S,36,Calcasieu
00/333,36,Calcasieu
00/334,36,Calcasieu
00/335,36,Calcasieu
00/336,36,Calcasieu
00/337,36,Calcasieu
00/338,36,Calcasieu
00/339,36,Calcasieu
00/340,36,Calcasieu
00/362,36,Calcasieu
00/363,36,Calcasieu
00/366,36,Calcasieu
00/367,36,Calcasieu
00/368,36,Calcasieu
00/369,36,Calcasieu
00/372,36,Calcasieu
00/261,37,Calcasieu
00/262,37,Calcasieu
00/360,37,Calcasieu
00/800,37,Calcasieu
00/801,37,Calcasieu
00/860N,37,Calcasieu
00/860S,37,Calcasieu
00/861E,37,Calcasieu
00/861W,37,Calcasieu
00/01,37,Jefferson Davis
00/02,37,Jefferson Davis
00/03,37,Jefferson Davis
00/04,37,Jefferson Davis
00/05,37,Jefferson Davis
00/05A,37,Jefferson Davis
00/06,37,Jefferson Davis
00/07,37,Jefferson Davis
00/08,37,Jefferson Davis
00/08A,37,Jefferson Davis
00/09A,37,Jefferson Davis
00/09B,37,Jefferson Davis
00/10,37,Jefferson Davis
00/10A,37,Jefferson Davis
00/12,37,Jefferson Davis
00/13,37,Jefferson Davis
00/14,37,Jefferson Davis
00/16,37,Jefferson Davis
00/16A,37,Jefferson Davis
00/18,37,Jefferson Davis
00/19,37,Jefferson Davis
00/20,37,Jefferson Davis
