precinct,district,parish
07/12,4,Orleans
07/17,4,Orleans
07/18,4,Orleans
07/19,4,Orleans
07/21,4,Orleans
07/26,4,Orleans
07/27,4,Orleans
07/27B,4,Orleans
07/28,4,Orleans
07/37A,4,Orleans
07/41,4,Orleans
07/42,4,Orleans
08/09,4,Orleans
08/12,4,Orleans
08/28,4,Orleans
08/30,4,Orleans
09/25,4,Orleans
09/26,4,Orleans
09/28C,4,Orleans
09/31D P,4,Orleans
09/33,4,Orleans
09/34A,4,Orleans
09/35,4,Orleans
09/35A,4,Orleans
09/36,4,Orleans
09/36B,4,Orleans
09/37,4,Orleans
09/38,4,Orleans
09/38A,4,Orleans
09/42,4,Orleans
09/42C,4,Orleans
09/43A,4,Orleans
09/43B,4,Orleans
09/43C,4,Orleans
09/43E,4,Orleans
09/43F,4,Orleans
09/43G,4,Orleans
09/43H,4,Orleans
09/43I,4,Orleans
09/43J,4,Orleans
09/43K,4,Orleans
09/43L,4,Orleans
09/43M,4,Orleans
09/43N,4,Orleans
09/44,4,Orleans
09/44A,4,Orleans
09/44B,4,Orleans
09/44D,4,Orleans
09/44E,4,Orleans
09/44F,4,Orleans
09/44J,4,Orleans
09/44L,4,Orleans
17/17,4,Orleans
17/18,4,Orleans
17/18A,4,Orleans
17/19,4,Orleans
17/20,4,Orleans
00/131,5,Jefferson
00/133,5,Jefferson
00/171,5,Jefferson
00/173,5,Jefferson
00/179B,5,Jefferson
00/180,5,Jefferson
00/181,5,Jefferson
00/187,5,Jefferson
00/188,5,Jefferson
00/191,5,Jefferson
00/200,5,Jefferson
00/201,5,Jefferson
01/01,5,Orleans
01/02,5,Orleans
01/05,5,Orleans
01/06,5,Orleans
02/01,5,Orleans
02/02,5,Orleans
02/04,5,Orleans
02/06,5,Orleans
02/07,5,Orleans
03/01,5,Orleans
03/08,5,Orleans
03/18,5,Orleans
04/03,5,Orleans
05/05,5,Orleans
05/07,5,Orleans
06/06,5,Orleans
06/07,5,Orleans
07/06,5,Orleans
07/10,5,Orleans
07/11,5,Orleans
07/13,5,Orleans
07/14,5,Orleans
07/15,5,Orleans
07/16,5,Orleans
07/20,5,Orleans
10/03,5,Orleans
10/06,5,Orleans
10/07,5,Orleans
10/08,5,Orleans
10/09,5,Orleans
10/11,5,Orleans
10/12,5,Orleans
10/13,5,Orleans
10/14,5,Orleans
11/02,5,Orleans
11/03,5,Orleans
11/04,5,Orleans
11/05,5,Orleans
11/08,5,Orleans
11/09,5,Orleans
11/10,5,Orleans
11/11,5,Orleans
11/12,5,Orleans
11/13,5,Orleans
11/14,5,Orleans
11/17,5,Orleans
12/01,5,Orleans
12/02,5,Orleans
12/03,5,Orleans
12/04,5,Orleans
12/05,5,Orleans
12/06,5,Orleans
12/07,5,Orleans
12/09,5,Orleans
12/10,5,Orleans
12/11,5,Orleans
12/12,5,Orleans
12/13,5,Orleans
12/14,5,Orleans
12/16,5,Orleans
12/17,5,Orleans
12/19,5,Orleans
13/01,5,Orleans
13/02,5,Orleans
13/03,5,Orleans
13/04,5,Orleans
13/05,5,Orleans
13/06,5,Orleans
13/07,5,Orleans
13/08,5,Orleans
13/09,5,Orleans
13/10,5,Orleans
13/11,5,Orleans
13/12,5,Orleans
13/13,5,Orleans
13/14,5,Orleans
13/15,5,Orleans
13/16,5,Orleans
14/17,5,Orleans
14/20,5,Orleans
14/21,5,Orleans
14/23,5,Orleans
14/24A,5,Orleans
14/25,5,Orleans
14/26,5,Orleans
16/04,5,Orleans
16/05,5,Orleans
16/06,5,Orleans
16/07,5,Orleans
16/08,5,Orleans
16/09,5,Orleans
17/02,5,Orleans
17/03,5,Orleans
17/04,5,Orleans
17/05,5,Orleans
17/06,5,Orleans
17/07,5,Orleans
17/08,5,Orleans
17/09,5,Orleans
17/10,5,Orleans
17/11,5,Orleans
17/12,5,Orleans
17/13,5,Orleans
17/13A,5,Orleans
17/14,5,Orleans
17/15,5,Orleans
17/16,5,Orleans
01/098 A,6,East Baton Rouge
01/098 B,6,East Baton Rouge
02/006 A,6,East Baton Rouge
02/006 B,6,East Baton Rouge
02/007 A,6,East Baton Rouge
02/007 B,6,East Baton Rouge
02/008,6,East Baton Rouge
02/021,6,East Baton Rouge
02/026,6,East Baton Rouge
02/028,6,East Baton Rouge
02/033,6,East Baton Rouge
03/001 A,6,East Baton Rouge
03/001 B,6,East Baton Rouge
03/002 A,6,East Baton Rouge
03/002 B,6,East Baton Rouge
03/003 A,6,East Baton Rouge
03/003 B,6,East Baton Rouge
03/006 A,6,East Baton Rouge
03/006 B,6,East Baton Rouge
03/009 A,6,East Baton Rouge
03/009 B,6,East Baton Rouge
03/010,6,East Baton Rouge
03/012 A,6,East Baton Rouge
03/012 B,6,East Baton Rouge
03/014 A,6,East Baton Rouge
03/014 B,6,East Baton Rouge
03/015 A,6,East Baton Rouge
03/015 B,6,East Baton Rouge
03/016,6,East Baton Rouge
03/021 A,6,East Baton Rouge
03/021 B,6,East Baton Rouge
03/022,6,East Baton Rouge
03/025 A,6,East Baton Rouge
03/025 B,6,East Baton Rouge
03/026 A,6,East Baton Rouge
03/026 B,6,East Baton Rouge
03/028 A,6,East Baton Rouge
03/028 B,6,East Baton Rouge
03/030 A,6,East Baton Rouge
03/030 B,6,East Baton Rouge
03/032,6,East Baton Rouge
03/033 A,6,East Baton Rouge
03/033 B,6,East Baton Rouge
03/034 A,6,East Baton Rouge
03/034 B,6,East Baton Rouge
03/037,6,East Baton Rouge
03/038,6,East Baton Rouge
03/043 A,6,East Baton Rouge
03/043 B,6,East Baton Rouge
03/045 A,6,East Baton Rouge
03/045 B,6,East Baton Rouge
03/046,6,East Baton Rouge
03/047 A,6,East Baton Rouge
03/047 B,6,East Baton Rouge
03/053 A,6,East Baton Rouge
03/053 B,6,East Baton Rouge
03/058,6,East Baton Rouge
03/061,6,East Baton Rouge
03/066,6,East Baton Rouge
03/071,6,East Baton Rouge
03/072,6,East Baton Rouge
03/073 A,6,East Baton Rouge
03/073 B,6,East Baton Rouge
00/09,6,Livingston
00/10,6,Livingston
00/11A,6,Livingston
00/12,6,Livingston
00/13A,6,Livingston
00/13B,6,Livingston
00/14,6,Livingston
00/15,6,Livingston
00/31,6,Livingston
00/32,6,Livingston
00/38,6,Livingston
01/2,6,St. Helena
02/1,6,St. Helena
02/2,6,St. Helena
03/1,6,St. Helena
03/2,6,St. Helena
04/1,6,St. Helena
04/2,6,St. Helena
05/1,6,St. Helena
06/1,6,St. Helena
06/2,6,St. Helena
00/195,7,Jefferson
00/196,7,Jefferson
00/197A,7,Jefferson
00/197B,7,Jefferson
00/205,7,Jefferson
00/211,7,Jefferson
00/212,7,Jefferson
00/213A,7,Jefferson
00/213B,7,Jefferson
00/213C,7,Jefferson
00/214A,7,Jefferson
00/214B,7,Jefferson
00/215,7,Jefferson
00/216A,7,Jefferson
00/216B,7,Jefferson
00/217,7,Jefferson
00/225,7,Jefferson
00/226,7,Jefferson
00/228,7,Jefferson
00/231,7,Jefferson
00/232A,7,Jefferson
00/232B,7,Jefferson
00/238A,7,Jefferson
00/238B,7,Jefferson
00/G001,7,Jefferson
00/G002,7,Jefferson
00/G004,7,Jefferson
00/G006,7,Jefferson
00/G007,7,Jefferson
00/G008,7,Jefferson
00/G011,7,Jefferson
15/01,7,Orleans
15/02,7,Orleans
15/03,7,Orleans
15/05,7,Orleans
15/06,7,Orleans
15/08,7,Orleans
15/09,7,Orleans
15/10,7,Orleans
15/11,7,Orleans
15/12,7,Orleans
15/12A,7,Orleans
15/13,7,Orleans
15/13A,7,Orleans
15/13B,7,Orleans
15/14,7,Orleans
15/14A,7,Orleans
15/14B,7,Orleans
15/14C,7,Orleans
15/14D,7,Orleans
15/14E,7,Orleans
15/14F,7,Orleans
15/14G,7,Orleans
15/15,7,Orleans
15/15A,7,Orleans
15/15B,7,Orleans
15/16,7,Orleans
15/17,7,Orleans
15/17A,7,Orleans
15/17B,7,Orleans
15/18,7,Orleans
15/18A,7,Orleans
15/18B,7,Orleans
15/18C,7,Orleans
15/18D,7,Orleans
15/18E,7,Orleans
15/18F,7,Orleans
15/19,7,Orleans
15/19A,7,Orleans
15/19B,7,Orleans
15/19C,7,Orleans
01/1,7,Plaquemines
01/2,7,Plaquemines
01/3,7,Plaquemines
07/1,7,Plaquemines
07/2,7,Plaquemines
00/151,8,Jefferson
00/152,8,Jefferson
00/153,8,Jefferson
00/154,8,Jefferson
00/155,8,Jefferson
00/156,8,Jefferson
00/157A,8,Jefferson
00/170,8,Jefferson
00/172,8,Jefferson
00/174,8,Jefferson
00/175,8,Jefferson
00/176,8,Jefferson
00/177,8,Jefferson
00/178,8,Jefferson
00/179A,8,Jefferson
00/182,8,Jefferson
00/183,8,Jefferson
00/184,8,Jefferson
00/185A,8,Jefferson
00/185B,8,Jefferson
00/189,8,Jefferson
00/190,8,Jefferson
00/192,8,Jefferson
00/193A,8,Jefferson
00/193B,8,Jefferson
00/194A,8,Jefferson
00/194B,8,Jefferson
00/198,8,Jefferson
00/199,8,Jefferson
00/202,8,Jefferson
00/203,8,Jefferson
00/204,8,Jefferson
00/210,8,Jefferson
00/227,8,Jefferson
00/229,8,Jefferson
00/230,8,Jefferson
00/234,8,Jefferson
00/235,8,Jefferson
00/236,8,Jefferson
00/237,8,Jefferson
00/246,8,Jefferson
00/247,8,Jefferson
00/248,8,Jefferson
00/G003,8,Jefferson
00/G005,8,Jefferson
00/G009,8,Jefferson
00/G010,8,Jefferson
00/G012,8,Jefferson
00/G013,8,Jefferson
00/GI001,8,Jefferson
00/L001,8,Jefferson
00/W001,8,Jefferson
00/W002,8,Jefferson
00/W003,8,Jefferson
00/W004,8,Jefferson
00/W005,8,Jefferson
00/W006,8,Jefferson
00/W007,8,Jefferson
02/1,8,Plaquemines
03/1,8,Plaquemines
04/1,8,Plaquemines
05/1,8,Plaquemines
05/1A,8,Plaquemines
06/1,8,Plaquemines
06/1A,8,Plaquemines
06/2,8,Plaquemines
08/1,8,Plaquemines
08/2,8,Plaquemines
09/1,8,Plaquemines
09/2,8,Plaquemines
00/014,9,Jefferson
00/015,9,Jefferson
00/016,9,Jefferson
00/017,9,Jefferson
00/018,9,Jefferson
00/019,9,Jefferson
00/020,9,Jefferson
00/023,9,Jefferson
00/024,9,Jefferson
00/025,9,Jefferson
00/026,9,Jefferson
00/027,9,Jefferson
00/028,9,Jefferson
00/029,9,Jefferson
00/030,9,Jefferson
00/031,9,Jefferson
00/032,9,Jefferson
00/033,9,Jefferson
00/034,9,Jefferson
00/035,9,Jefferson
00/036,9,Jefferson
00/037,9,Jefferson
00/038,9,Jefferson
00/039,9,Jefferson
00/040,9,Jefferson
00/041,9,Jefferson
00/042,9,Jefferson
00/043,9,Jefferson
00/044,9,Jefferson
00/045,9,Jefferson
00/046,9,Jefferson
00/069,9,Jefferson
00/070,9,Jefferson
00/071,9,Jefferson
00/072,9,Jefferson
00/073,9,Jefferson
00/074,9,Jefferson
00/075,9,Jefferson
00/076,9,Jefferson
00/077,9,Jefferson
00/078,9,Jefferson
00/079,9,Jefferson
00/080,9,Jefferson
00/081,9,Jefferson
00/082,9,Jefferson
00/083,9,Jefferson
00/084,9,Jefferson
00/085,9,Jefferson
00/086,9,Jefferson
00/087,9,Jefferson
00/088,9,Jefferson
00/089,9,Jefferson
00/090,9,Jefferson
00/091,9,Jefferson
00/092,9,Jefferson
00/093,9,Jefferson
00/094,9,Jefferson
00/095,9,Jefferson
00/096,9,Jefferson
00/097,9,Jefferson
00/098,9,Jefferson
00/099,9,Jefferson
00/100,9,Jefferson
00/101,9,Jefferson
00/102,9,Jefferson
00/103,9,Jefferson
00/105,9,Jefferson
00/106,9,Jefferson
00/127,9,Jefferson
00/128,9,Jefferson
00/129,9,Jefferson
00/130,9,Jefferson
00/132,9,Jefferson
00/134,9,Jefferson
00/136,9,Jefferson
00/138,9,Jefferson
14/01,9,Orleans
14/02,9,Orleans
14/03,9,Orleans
14/04,9,Orleans
14/05,9,Orleans
14/06,9,Orleans
14/07,9,Orleans
14/08,9,Orleans
14/09,9,Orleans
14/10,9,Orleans
14/11,9,Orleans
14/12,9,Orleans
14/13A,9,Orleans
14/14,9,Orleans
14/15,9,Orleans
14/16,9,Orleans
14/18A,9,Orleans
14/19,9,Orleans
16/01,9,Orleans
16/01A,9,Orleans
16/02,9,Orleans
16/03,9,Orleans
17/01,9,Orleans
00/001,10,Jefferson
00/002,10,Jefferson
00/003,10,Jefferson
00/004,10,Jefferson
00/005,10,Jefferson
00/007,10,Jefferson
00/008,10,Jefferson
00/009,10,Jefferson
00/010,10,Jefferson
00/011,10,Jefferson
00/012,10,Jefferson
00/013,10,Jefferson
00/021,10,Jefferson
00/022,10,Jefferson
00/051,10,Jefferson
00/052,10,Jefferson
00/053,10,Jefferson
00/054,10,Jefferson
00/055,10,Jefferson
00/056,10,Jefferson
00/057,10,Jefferson
00/058,10,Jefferson
00/059,10,Jefferson
00/060,10,Jefferson
00/061,10,Jefferson
00/062,10,Jefferson
00/063,10,Jefferson
00/064,10,Jefferson
00/065,10,Jefferson
00/066,10,Jefferson
00/068,10,Jefferson
00/108,10,Jefferson
00/116,10,Jefferson
00/117,10,Jefferson
00/118,10,Jefferson
00/119,10,Jefferson
00/120,10,Jefferson
00/121,10,Jefferson
00/122,10,Jefferson
00/123,10,Jefferson
00/124,10,Jefferson
00/125A,10,Jefferson
00/125B,10,Jefferson
00/126,10,Jefferson
00/H001,10,Jefferson
00/H002,10,Jefferson
00/H003,10,Jefferson
00/H004,10,Jefferson
00/H005,10,Jefferson
00/H006,10,Jefferson
00/H007,10,Jefferson
00/H008,10,Jefferson
00/H009,10,Jefferson
00/K001,10,Jefferson
00/K002,10,Jefferson
00/K003,10,Jefferson
00/K004,10,Jefferson
00/K005,10,Jefferson
00/K006A,10,Jefferson
00/K006B,10,Jefferson
00/K007A,10,Jefferson
00/K007B,10,Jefferson
00/K008,10,Jefferson
00/K009,10,Jefferson
00/K010,10,Jefferson
00/K011,10,Jefferson
00/K012,10,Jefferson
00/K015,10,Jefferson
00/K016,10,Jefferson
00/K017,10,Jefferson
00/K018,10,Jefferson
00/K019,10,Jefferson
00/K020,10,Jefferson
00/K025,10,Jefferson
00/K026 P,10,Jefferson
00/K034,10,Jefferson
00/K035,10,Jefferson
00/103,11,St. Tammany
00/104,11,St. Tammany
00/105,11,St. Tammany
00/106,11,St. Tammany
00/106A,11,St. Tammany
00/107,11,St. Tammany
00/108,11,St. Tammany
00/110,11,St. Tammany
00/111,11,St. Tammany
00/112,11,St. Tammany
00/113,11,St. Tammany
00/114,11,St. Tammany
00/115,11,St. Tammany
00/116,11,St. Tammany
00/118,11,St. Tammany
00/301,11,St. Tammany
00/304,11,St. Tammany
00/305,11,St. Tammany
00/306,11,St. Tammany
00/307,11,St. Tammany
00/308,11,St. Tammany
00/309,11,St. Tammany
00/310,11,St. Tammany
00/312,11,St. Tammany
00/312A,11,St. Tammany
00/313,11,St. Tammany
00/314,11,St. Tammany
00/403,11,St. Tammany
00/404,11,St. Tammany
00/405,11,St. Tammany
00/406,11,St. Tammany
00/407,11,St. Tammany
00/408,11,St. Tammany
00/409,11,St. Tammany
00/410,11,St. Tammany
00/411,11,St. Tammany
00/412,11,St. Tammany
00/413,11,St. Tammany
00/414,11,St. Tammany
00/415,11,St. Tammany
00/416,11,St. Tammany
00/417,11,St. Tammany
00/418,11,St. Tammany
00/419,11,St. Tammany
00/420,11,St. Tammany
00/422,11,St. Tammany
00/426,11,St. Tammany
00/427,11,St. Tammany
00/429,11,St. Tammany
00/430,11,St. Tammany
00/605,11,St. Tammany
00/701,11,St. Tammany
00/702,11,St. Tammany
00/703,11,St. Tammany
00/704,11,St. Tammany
00/705,11,St. Tammany
00/706,11,St. Tammany
00/C01,11,St. Tammany
00/C02,11,St. Tammany
00/C03,11,St. Tammany
00/C04,11,St. Tammany
00/C06,11,St. Tammany
00/C07,11,St. Tammany
00/C08,11,St. Tammany
00/C09,11,St. Tammany
00/C11,11,St. Tammany
00/M02,11,St. Tammany
00/M04,11,St. Tammany
00/M07,11,St. Tammany
00/M09,11,St. Tammany
00/M09A,11,St. Tammany
00/M10,11,St. Tammany
00/101,12,St. Tammany
00/201,12,St. Tammany
00/202,12,St. Tammany
00/203,12,St. Tammany
00/204,12,St. Tammany
00/205,12,St. Tammany
00/206,12,St. Tammany
00/207,12,St. Tammany
00/302,12,St. Tammany
00/303,12,St. Tammany
00/501,12,St. Tammany
00/502,12,St. Tammany
00/503,12,St. Tammany
00/504,12,St. Tammany
00/505,12,St. Tammany
00/A01,12,St. Tammany
00/A02,12,St. Tammany
00/A02A,12,St. Tammany
00/A03,12,St. Tammany
00/A04,12,St. Tammany
00/F01,12,St. Tammany
00/002,12,Tangipahoa
00/006,12,Tangipahoa
00/011,12,Tangipahoa
00/015,12,Tangipahoa
00/016,12,Tangipahoa
00/017,12,Tangipahoa
00/101,12,Tangipahoa
00/102,12,Tangipahoa
00/104,12,Tangipahoa
00/106,12,Tangipahoa
00/106A,12,Tangipahoa
00/107,12,Tangipahoa
00/108,12,Tangipahoa
00/110,12,Tangipahoa
00/112,12,Tangipahoa
00/114,12,Tangipahoa
00/115B,12,Tangipahoa
00/116,12,Tangipahoa
00/118,12,Tangipahoa
00/118A,12,Tangipahoa
00/119,12,Tangipahoa
00/120,12,Tangipahoa
00/120A,12,Tangipahoa
00/123,12,Tangipahoa
*ALL/*ALL,12,Washington
00/01,13,Livingston
00/01A,13,Livingston
00/01B,13,Livingston
00/01C,13,Livingston
00/01D,13,Livingston
00/02,13,Livingston
00/02A,13,Livingston
00/03,13,Livingston
00/03A,13,Livingston
00/03B,13,Livingston
00/04,13,Livingston
00/04A,13,Livingston
00/04B,13,Livingston
00/05,13,Livingston
00/05A,13,Livingston
00/05B,13,Livingston
00/05D,13,Livingston
00/06,13,Livingston
00/06A,13,Livingston
00/06B,13,Livingston
00/07,13,Livingston
00/07A,13,Livingston
00/07B,13,Livingston
00/07C,13,Livingston
00/07D,13,Livingston
00/08A,13,Livingston
00/08B,13,Livingston
00/19,13,Livingston
00/19A,13,Livingston
00/20,13,Livingston
00/21,13,Livingston
00/21A,13,Livingston
00/21B,13,Livingston
00/22,13,Livingston
00/23,13,Livingston
00/23A,13,Livingston
00/23B,13,Livingston
00/23C,13,Livingston
00/24,13,Livingston
00/24B,13,Livingston
00/24C,13,Livingston
00/24D,13,Livingston
00/25,13,Livingston
00/26,13,Livingston
00/26A,13,Livingston
00/26B,13,Livingston
00/26C,13,Livingston
00/27,13,Livingston
00/28,13,Livingston
00/29,13,Livingston
00/35,13,Livingston
00/35A,13,Livingston
00/36,13,Livingston
00/36A,13,Livingston
00/39,13,Livingston
00/39A,13,Livingston
00/39B,13,Livingston
00/40,13,Livingston
00/40A,13,Livingston
00/41,13,Livingston
01/001,14,East Baton Rouge
01/003,14,East Baton Rouge
01/004,14,East Baton Rouge
01/005 A,14,East Baton Rouge
01/005 B,14,East Baton Rouge
01/006,14,East Baton Rouge
01/007,14,East Baton Rouge
01/010 A,14,East Baton Rouge
01/010 B,14,East Baton Rouge
01/013,14,East Baton Rouge
01/014 A,14,East Baton Rouge
01/014 B,14,East Baton Rouge
01/015 A,14,East Baton Rouge
01/015 B,14,East Baton Rouge
01/016,14,East Baton Rouge
01/017,14,East Baton Rouge
01/018,14,East Baton Rouge
01/019,14,East Baton Rouge
01/021,14,East Baton Rouge
01/022,14,East Baton Rouge
01/023,14,East Baton Rouge
01/024,14,East Baton Rouge
01/025,14,East Baton Rouge
01/026,14,East Baton Rouge
